"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 05:09:23 GMT 2022","Wed Sep 21 05:09:23 GMT 2022","277","chromium","sessionStorage.spec.ts","","","","User able to see data from session storage correctly",""
"passed","Wed Sep 21 05:09:22 GMT 2022","Wed Sep 21 05:09:23 GMT 2022","482","chromium","localStorage.spec.ts","","","","User able to see data from local storage correctly",""
