"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 05:16:28 GMT 2022","Wed Sep 21 05:16:29 GMT 2022","623","chromium","localStorage.spec.ts","","","","User able to see data from local storage correctly",""
"passed","Wed Sep 21 05:16:29 GMT 2022","Wed Sep 21 05:16:29 GMT 2022","525","chromium","sessionStorage.spec.ts","","","","User able to see data from session storage correctly",""
