"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 09:30:55 GMT 2022","Fri Nov 25 09:30:55 GMT 2022","473","chromium","sessionStorage.spec.ts","","","","User able to see data from session storage correctly",""
"passed","Fri Nov 25 09:30:54 GMT 2022","Fri Nov 25 09:30:55 GMT 2022","597","chromium","localStorage.spec.ts","","","","User able to see data from local storage correctly",""
